gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,indirect_association.diseaseId,indirect_association.score,direct_association.diseaseId,direct_association.score,indirect_association.disease,direct_association.disease,ensembl_ID
APOB,3,COLON,KIDNEY,LUNG,"","","",EFO_0000589,0.886208409798352,EFO_0004911,0.83073799026861,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",familial hypercholesterolemia: Familial hypercholesterolemia is is an autosomal dominant disorder characterized by elevation of serum cholesterol bound to low density lipoprotein (OMIM),ENSG00000084674
IDH2,3,BAT,SKM-VL,SPLEEN,"","","",MONDO_0045024,0.885740541374445,Orphanet_79315,0.749259078910269,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.","D-2-hydroxyglutaric aciduria: D-2-hydroxyglutaric aciduria (D-2-HGA) is a rare clinically variable neurological form of 2-hydroxyglutaric aciduria (see this term) characterized biochemically by elevated D-2-hydroxyglutaric acid (D-2-HG) in the urine, plasma and cerebrospinal fluid.",ENSG00000182054
MT-ND4,3,BAT,HEART,SKM-VL,"","","",EFO_0000589,0.883776749139973,Orphanet_104,0.742430452483856,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",Leber hereditary optic neuropathy: Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.,ENSG00000198886
TGFBI,3,BAT,COLON,LUNG,"","","",EFO_0000508,0.873279407686172,Orphanet_98964,0.807818935079925,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Lattice corneal dystrophy type I: Type I lattice corneal dystrophy (LCDI) is a frequent form of stromal corneal dystrophy (see this term) characterized by a network of delicate interdigitating branching filamentous opacities within the cornea with progressive visual impairment and no systemic manifestations.,ENSG00000120708
NDUFS3,3,BAT,SKM-GN,SKM-VL,"","","",EFO_0000589,0.869899041505714,Orphanet_2609,0.706390145046081,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",Isolated NADH-CoQ reductase deficiency: NA,ENSG00000213619
NDUFB8,3,BAT,BLOOD,SKM-VL,"","","",EFO_0000589,0.862952936983341,Orphanet_2609,0.724427845717388,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",Isolated NADH-CoQ reductase deficiency: NA,ENSG00000166136
HADHA,3,BAT,BLOOD,HEART,"","","",EFO_0000618,0.859684873764337,Orphanet_5,0.833664304909758,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.","Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency: Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency (LCHADD) is a mitochondrial disorder of long chain fatty acid oxidation characterized in most patients by onset in infancy/ early childhood with hypoketotic hypoglycemia, metabolic acidosis, liver disease, hypotonia and frequently cardiac involvement with arrhythmias and/or cardiomyopathy.",ENSG00000084754
F2,3,COLON,LUNG,SKM-VL,"","","",EFO_0005803,0.854587448221971,Orphanet_325,0.814423005157358,hematologic disease: Disorders of the blood and blood forming tissues.,"Congenital factor II deficiency: Congenital factor II deficiency is an inherited bleeding disorder due to reduced activity of factor II (FII, prothrombin) and characterized by mucocutaneous bleeding symptoms.",ENSG00000180210
FLNC,3,LUNG,SKM-GN,SKM-VL,"","","",EFO_0002970,0.853889916277337,Orphanet_171445,0.775280469241578,"muscular disease: Acquired, familial, and congenital disorders of SKELETAL MUSCLE and SMOOTH MUSCLE.","Muscle filaminopathy: Muscle filaminopathy is a rare myofibrillar myopathy characterized by slowly progressive, proximal skeletal muscle weakness, which is initially more prominent in lower extremities and involves upper extremities with disease progression. Patients present with difficulty climbing stairs, a waddling gait, marked winging of scapula, lower back pain, paresis of limb girdle musculature, hypo-/areflexia and/or mild facial muscle weakness in rare cases. Respiratory muscle weakness is common and cardiac anomalies (conduction blocks, tachycardia, diastolic dysfunction, left ventricular hypertrophy) have been reported in some cases.",ENSG00000128591
HSPB1,3,HEART,SKM-GN,SKM-VL,"","","",OTAR_0000018,0.848930237210343,Orphanet_139525,0.817210869581209,"genetic, familial or congenital disease: A disease caused by genetic modifications inherited from parents genome, occurring in or affecting members of a family more than expected by chance or existing at, and usually before, birth.",Distal hereditary motor neuropathy type 2: NA,ENSG00000106211
TUBB2A,3,ADRNL,COLON,SPLEEN,"","","",EFO_0000508,0.848803045517766,Orphanet_183506,0.757011485177841,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Genetic central nervous system malformation: NA,ENSG00000137267
MT-CO1,3,BAT,SKM-GN,SKM-VL,"","","",OTAR_0000018,0.846266155191428,Orphanet_254905,0.705931201825083,"genetic, familial or congenital disease: A disease caused by genetic modifications inherited from parents genome, occurring in or affecting members of a family more than expected by chance or existing at, and usually before, birth.","Isolated cytochrome C oxidase deficiency: A very rare inherited metabolic disorder characterized by deficiency of the enzyme cytochrome-C oxidase. It may be manifested as an isolated myopathy or a systemic disorder. Signs and symptoms include myotonia, dysfunction of the heart, kidney, and brain, and lactic acidosis.",ENSG00000198804
TUBA1A,3,COLON,HEART,SPLEEN,"","","",EFO_0000618,0.84615626904648,Orphanet_171680,0.808038858814008,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.","Lissencephaly due to TUBA1A mutation: Lissencephaly (LIS) due to TUBA1A mutation is a congenital cortical development anomaly due to abnormal neuronal migration involving neocortical and hippocampal lamination, corpus callosum, cerebellum and brainstem. A large clinical spectrum can be observed, from children with severe epilepsy and intellectual and motor deficit to cases with severe cerebral dysgenesis in the antenatal period leading to pregnancy termination due to the severity of the prognosis.",ENSG00000167552
FTL,3,BAT,HEART,KIDNEY,"","","",EFO_0000508,0.844855315618606,Orphanet_163,0.792933304917432,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",Hereditary hyperferritinemia with congenital cataracts: Hereditary hyperferritinemia with congenital cataracts is characterized by the association of early onset (although generally absent at birth) cataract with persistently raised plasma ferritin concentrations in the absence of iron overload.,ENSG00000087086
NDUFA11,3,BAT,BLOOD,HEART,"","","",EFO_0000589,0.840344707708896,Orphanet_2609,0.677402587357038,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",Isolated NADH-CoQ reductase deficiency: NA,ENSG00000174886
CALM1,3,BLOOD,SKM-VL,SPLEEN,"","","",EFO_0000319,0.838959644557114,Orphanet_3286,0.729539455334275,cardiovascular disease: A disease involving the cardiovascular system.,Catecholaminergic polymorphic ventricular tachycardia: Catecholaminergic polymorphic ventricular tachycardia (CPVT) is a severe genetic arrhythmogenic disorder characterized by adrenergically induced ventricular tachycardia (VT) manifesting as syncope and sudden death.,ENSG00000198668
SLC6A8,3,HEART,LIVER,LUNG,"","","",EFO_0000508,0.834680099251468,Orphanet_52503,0.833485622870617,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","X-linked creatine transporter deficiency: X-linked creatine transporter deficiency (CRTR-D) is a creatine deficiency syndrome characterized clinically by global developmental delay/ intellectual disability (DD/ID) with prominent speech/language delay, autistic behavior and seizures.",ENSG00000130821
